date,rain_mm_daily
22-04-2014,2.660727
23-04-2014,2.427727
23-04-2014,2.427727
24-04-2014,2.3123343
24-04-2014,2.3123343
25-04-2014,7.0967364
25-04-2014,7.0967364
26-04-2014,2.4047177
26-04-2014,2.4047177
27-04-2014,2.5599785
27-04-2014,2.5599785
28-04-2014,2.4460144
28-04-2014,2.4460144
29-04-2014,0.6101839
29-04-2014,0.6101839
30-04-2014,0
30-04-2014,0
01-05-2014,4.439976
01-05-2014,4.439976
02-05-2014,0.0052955
02-05-2014,0.0052955
03-05-2014,0.066513196
03-05-2014,0.066513196
04-05-2014,1.7601976
04-05-2014,1.7601976
05-05-2014,1.3655851
05-05-2014,1.3655851
06-05-2014,3.328858
06-05-2014,3.328858
07-05-2014,10.261772
07-05-2014,10.261772
08-05-2014,2.2537298
08-05-2014,2.2537298
09-05-2014,5.1930494
09-05-2014,5.1930494
10-05-2014,13.520323
10-05-2014,13.520323
11-05-2014,10.430667
11-05-2014,10.430667
12-05-2014,10.86184
12-05-2014,10.86184
13-05-2014,1.1944212
13-05-2014,1.1944212
14-05-2014,0.014338642
14-05-2014,0.014338642
15-05-2014,0.95365566
15-05-2014,0.95365566
16-05-2014,0.049076974
16-05-2014,0.049076974
17-05-2014,0.002235174
17-05-2014,0.002235174
18-05-2014,0.14505908
18-05-2014,0.14505908
19-05-2014,1.8390436
19-05-2014,1.8390436
20-05-2014,1.7089844
20-05-2014,1.7089844
21-05-2014,0.284411
21-05-2014,0.284411
22-05-2014,3.8108938
22-05-2014,3.8108938
23-05-2014,1.980828
23-05-2014,1.980828
24-05-2014,3.57225
24-05-2014,3.57225
25-05-2014,9.447457
25-05-2014,9.447457
26-05-2014,1.5099198
26-05-2014,1.5099198
27-05-2014,0.26598573
27-05-2014,0.26598573
28-05-2014,8.0643635
28-05-2014,8.0643635
29-05-2014,0.5152598
29-05-2014,0.5152598
30-05-2014,0.015566126
30-05-2014,0.015566126
31-05-2014,0
31-05-2014,0
01-06-2014,2.2150054
01-06-2014,2.2150054
02-06-2014,3.3588018
02-06-2014,3.3588018
03-06-2014,2.1177363
03-06-2014,2.1177363
04-06-2014,12.677459
04-06-2014,12.677459
05-06-2014,3.2572708
05-06-2014,3.2572708
06-06-2014,0.001877546
06-06-2014,0.001877546
07-06-2014,12.075028
07-06-2014,12.075028
08-06-2014,2.445087
08-06-2014,2.445087
09-06-2014,7.759098
09-06-2014,7.759098
10-06-2014,7.931877
10-06-2014,7.931877
11-06-2014,1.1085905
11-06-2014,1.1085905
12-06-2014,0.18750876
12-06-2014,0.18750876
13-06-2014,1.4516674
13-06-2014,1.4516674
14-06-2014,1.0997727
14-06-2014,1.0997727
15-06-2014,0.61840194
