Date,Time,Precip(mm)
17 Mar 2014,00:00,0.784697
17 Mar 2014,00:00,0.784697
18 Mar 2014,00:00,6.818868
18 Mar 2014,00:00,6.818868
19 Mar 2014,00:00,0.19396934
19 Mar 2014,00:00,0.19396934
20 Mar 2014,00:00,13.426147
20 Mar 2014,00:00,13.426147
21 Mar 2014,00:00,7.852493
21 Mar 2014,00:00,7.852493
22 Mar 2014,00:00,2.3297296
22 Mar 2014,00:00,2.3297296
23 Mar 2014,00:00,0.07878058
23 Mar 2014,00:00,0.07878058
24 Mar 2014,00:00,0.03129244
24 Mar 2014,00:00,0.03129244
25 Mar 2014,00:00,2.5748072
25 Mar 2014,00:00,2.5748072
26 Mar 2014,00:00,0.5369764
26 Mar 2014,00:00,0.5369764
27 Mar 2014,00:00,2.3684149
27 Mar 2014,00:00,2.3684149
28 Mar 2014,00:00,5.622385
28 Mar 2014,00:00,5.622385
29 Mar 2014,00:00,0.23325719
29 Mar 2014,00:00,0.23325719
30 Mar 2014,00:00,0.030074269
30 Mar 2014,00:00,0.030074269
31 Mar 2014,00:00,0.004744157
31 Mar 2014,00:00,0.004744157
01 Apr 2014,00:00,10.788925
01 Apr 2014,00:00,10.788925
02 Apr 2014,00:00,0.10646507
02 Apr 2014,00:00,0.10646507
03 Apr 2014,00:00,3.2278879
03 Apr 2014,00:00,3.2278879
04 Apr 2014,00:00,3.7355256
04 Apr 2014,00:00,3.7355256
05 Apr 2014,00:00,3.086131
05 Apr 2014,00:00,3.086131
06 Apr 2014,00:00,3.6345253
06 Apr 2014,00:00,3.6345253
07 Apr 2014,00:00,8.408789
07 Apr 2014,00:00,8.408789
08 Apr 2014,00:00,1.9449944
08 Apr 2014,00:00,1.9449944
09 Apr 2014,00:00,2.0712557
09 Apr 2014,00:00,2.0712557
10 Apr 2014,00:00,1.3321005
10 Apr 2014,00:00,1.3321005
11 Apr 2014,00:00,0.24124607
11 Apr 2014,00:00,0.24124607
12 Apr 2014,00:00,0.4693847
12 Apr 2014,00:00,0.4693847
13 Apr 2014,00:00,2.2229812
13 Apr 2014,00:00,2.2229812
14 Apr 2014,00:00,0.0005643815
14 Apr 2014,00:00,0.0005643815
15 Apr 2014,00:00,0.0
15 Apr 2014,00:00,0.0
16 Apr 2014,00:00,0.11205487
16 Apr 2014,00:00,0.11205487
17 Apr 2014,00:00,1.0383203
17 Apr 2014,00:00,1.0383203
18 Apr 2014,00:00,0.0
18 Apr 2014,00:00,0.0
19 Apr 2014,00:00,0.0
19 Apr 2014,00:00,0.0
20 Apr 2014,00:00,0.0004665926
20 Apr 2014,00:00,0.0004665926
21 Apr 2014,00:00,0.014916062
21 Apr 2014,00:00,0.014916062
22 Apr 2014,00:00,2.660727
22 Apr 2014,00:00,2.660727
23 Apr 2014,00:00,2.427727
23 Apr 2014,00:00,2.427727
24 Apr 2014,00:00,2.3123343
24 Apr 2014,00:00,2.3123343
25 Apr 2014,00:00,7.0967364
25 Apr 2014,00:00,7.0967364
26 Apr 2014,00:00,2.4047177
26 Apr 2014,00:00,2.4047177
27 Apr 2014,00:00,2.5599785
27 Apr 2014,00:00,2.5599785
28 Apr 2014,00:00,2.4460144
28 Apr 2014,00:00,2.4460144
29 Apr 2014,00:00,0.6101839
29 Apr 2014,00:00,0.6101839
30 Apr 2014,00:00,0.0
30 Apr 2014,00:00,0.0
01 May 2014,00:00,4.439976
01 May 2014,00:00,4.439976
02 May 2014,00:00,0.0052955
02 May 2014,00:00,0.0052955
03 May 2014,00:00,0.066513196
03 May 2014,00:00,0.066513196
04 May 2014,00:00,1.7601976
