date,OBS
2011-01-01,0.0
2011-01-02,0.0
2011-01-03,0.0
2011-01-04,10.361047412672523
2011-01-05,6.381480917580371
2011-01-06,0.7373444396184765
2011-01-07,4.067793333136112
2011-01-08,6.500565564278525
2011-01-09,2.2658423728009085
2011-01-10,18.18521380644501
2011-01-11,3.8609003189194326
2011-01-12,4.8665598407670565
2011-01-13,7.809564062189499
2011-01-14,10.65718970472387
2011-01-15,43.79147489985695
2011-01-16,7.48034306280048
2011-01-17,0.0
2011-01-18,0.0
2011-01-19,0.0
2011-01-20,0.0
2011-01-21,0.0
2011-01-22,0.0
2011-01-23,0.0
2011-01-24,0.0
2011-01-25,2.8099828619720455
2011-01-26,1.0843035078660712
2011-01-27,0.0
2011-01-28,0.0
2011-01-29,0.0
2011-01-30,0.0
2011-01-31,2.160082763733388
2011-02-01,5.423191898378184
2011-02-02,9.026186577494352
2011-02-03,14.804148013859121
2011-02-04,26.601879376643264
2011-02-05,13.74500572628019
2011-02-06,22.183835796702407
2011-02-07,12.922528719966254
2011-02-08,2.77905530597551
2011-02-09,10.091607293865627
2011-02-10,1.9208393415484821
2011-02-11,6.819074851364331
2011-02-12,3.0502473958343885
2011-02-13,8.894074296702208
2011-02-14,3.985542413658307
2011-02-15,4.943049882114731
2011-02-16,3.5685142570339385
2011-02-17,0.03302421228257383
2011-02-18,0.0
2011-02-19,3.3547798209236457
2011-02-20,0.06615164226877604
2011-02-21,1.6044278815012816
2011-02-22,0.18502885193005025
2011-02-23,4.416407694019287
2011-02-24,0.0
2011-02-25,3.6403314928588544
2011-02-26,5.555817792625072
2011-02-27,0.48677750383127716
2011-02-28,0.0
2011-03-01,0.0
2011-03-02,0.0
2011-03-03,0.0
2011-03-04,0.0
2011-03-05,0.0
2011-03-06,0.0
2011-03-07,0.0
2011-03-08,2.435905388062925
2011-03-09,7.094747433598243
2011-03-10,5.804213254179622
2011-03-11,14.648266733685409
2011-03-12,8.067014680254513
2011-03-13,0.36841607218259304
2011-03-14,0.0
2011-03-15,3.1912549114629525
2011-03-16,0.0
2011-03-17,0.0
2011-03-18,0.0
2011-03-19,0.0
2011-03-20,0.8826609092605867
2011-03-21,0.0
2011-03-22,0.0
2011-03-23,0.0
2011-03-24,0.0
2011-03-25,0.0
2011-03-26,0.0
2011-03-27,0.0
2011-03-28,0.0
2011-03-29,3.4971147231823645
2011-03-30,4.491762082941181
2011-03-31,5.6674840201476675
2011-04-01,9.130966822513864
2011-04-02,6.40751454905591
2011-04-03,1.9692386823821857
2011-04-04,9.408229391103688
2011-04-05,13.786056402261796
2011-04-06,4.958122129544434
2011-04-07,0.0
2011-04-08,0.0
2011-04-09,0.0
2011-04-10,0.0
2011-04-11,1.9836930936519614
2011-04-12,0.0
2011-04-13,1.3666702925136616
2011-04-14,0.0
2011-04-15,0.0
2011-04-16,0.0
2011-04-17,0.0
2011-04-18,0.0
2011-04-19,0.0
2011-04-20,0.0
2011-04-21,0.0
