ob_date,prcp_amt
2015-09-11,0.0
2015-09-12,0.8
2015-09-13,1.4
2015-09-14,0.0
2015-09-15,3.0
2015-09-16,0.2
2015-09-17,0.0
2015-09-18,0.2
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,2.4
2015-09-22,0.8
2015-09-23,0.0
2015-09-24,6.8
2015-09-25,5.4
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,0.0
2015-09-29,0.0
2015-09-30,0.0
2015-10-01,0.0
2015-10-02,0.0
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,0.2
2015-10-06,5.0
2015-10-07,0.4
2015-10-08,0.0
2015-10-09,0.0
2015-10-10,0.0
2015-10-11,0.0
2015-10-12,1.2
2015-10-13,0.0
2015-10-14,0.0
2015-10-15,0.0
2015-10-16,0.0
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,0.0
2015-10-20,0.8
2015-10-21,3.0
2015-10-22,0.6
2015-10-23,0.0
2015-10-24,2.0
2015-10-25,0.8
2015-10-26,0.0
2015-10-27,0.0
2015-10-28,2.6
2015-10-29,11.8
2015-10-30,4.2
2015-10-31,2.4
2015-11-01,0.6
2015-11-02,0.0
2015-11-03,0.2
2015-11-04,6.0
2015-11-05,0.0
2015-11-06,4.8
2015-11-07,6.0
2015-11-08,7.8
2015-11-09,13.4
2015-11-10,5.2
2015-11-11,14.0
2015-11-12,8.6
2015-11-13,10.2
2015-11-14,0.6
2015-11-15,28.2
2015-11-16,2.4
2015-11-17,0.4
2015-11-18,9.2
2015-11-19,5.2
2015-11-20,0.2
2015-11-21,1.0
2015-11-22,0.8
2015-11-23,0.0
2015-11-24,1.8
2015-11-25,0.8
2015-11-26,0.0
2015-11-27,1.0
2015-11-28,7.4
2015-11-29,9.8
2015-11-30,8.2
2015-12-01,10.6
2015-12-02,2.4
2015-12-03,2.4
2015-12-04,27.2
2015-12-05,21.4
2015-12-06,27.6
2015-12-07,1.4
2015-12-08,0.8
2015-12-09,11.8
2015-12-10,9.4
2015-12-11,5.0
2015-12-12,1.8
2015-12-13,14.0
2015-12-14,2.2
2015-12-15,0.6
2015-12-16,0.4
2015-12-17,0.4
2015-12-18,0.2
2015-12-19,1.2
2015-12-20,8.0
2015-12-21,7.4
2015-12-22,15.6
2015-12-23,4.8
2015-12-24,7.8
2015-12-25,2.8
2015-12-26,27.4
2015-12-27,22.6
2015-12-28,0.4
2015-12-29,0.2
2015-12-30,1.6
2015-12-31,3.8
