date,rain_mm_daily
2014-09-08,0.0008121133
2014-09-09,0.0008996576
2014-09-10,0.0010542572
2014-09-11,0.21777488
2014-09-12,0.14422369
2014-09-13,0.11606142
2014-09-14,0.14893897
2014-09-15,0.24737604
2014-09-16,0.083792955
2014-09-17,0.25519544
2014-09-18,0.27844495
2014-09-19,0.24274737
2014-09-20,0.11919066
2014-09-21,0.0
2014-09-22,0.059006736
2014-09-23,2.3068042
2014-09-24,0.8128267
2014-09-25,0.67306125
2014-09-26,0.70978326
2014-09-27,0.26584977
2014-09-28,0.37626177
2014-09-29,0.2130391
2014-09-30,0.008558854
2014-10-01,0.8499325
2014-10-02,-4.4703484e-05
2014-10-03,11.70544
2014-10-04,24.972675
2014-10-05,0.5649403
2014-10-06,17.663872
2014-10-07,0.5049603
2014-10-08,8.050088
2014-10-09,3.5660267
2014-10-10,3.5772195
2014-10-11,0.42798555
2014-10-12,0.0014547259
2014-10-13,0.008543953
2014-10-14,0.0
2014-10-15,1.8733516
2014-10-16,3.1616054
2014-10-17,6.0937643
2014-10-18,11.914034
2014-10-19,7.262232
2014-10-20,3.1438787
2014-10-21,10.736002
2014-10-22,1.356842
2014-10-23,1.6146004
2014-10-24,1.0887702
2014-10-25,1.3936601
2014-10-26,4.7856274
2014-10-27,3.4913774
2014-10-28,17.892223
2014-10-29,0.008514151
2014-10-30,2.380898
2014-10-31,0.07056631
2014-11-01,15.609857
2014-11-02,4.1184573
2014-11-03,7.503254
2014-11-04,2.3127663
2014-11-05,0.065971166
2014-11-06,5.3893867
2014-11-07,6.765064
2014-11-08,6.380081
2014-11-09,0.45446676
2014-11-10,0.10126084
2014-11-11,4.9476233
2014-11-12,4.6103783
2014-11-13,0.9910408
2014-11-14,7.967661
2014-11-15,0.015327707
2014-11-16,0.8461923
2014-11-17,2.049271
2014-11-18,0.003963709
2014-11-19,0.0749547
2014-11-20,0.15210547
2014-11-21,6.046751
2014-11-22,4.7197604
2014-11-23,0.1034867
2014-11-24,0.010022894
2014-11-25,0.021679327
2014-11-26,1.2853444
2014-11-27,1.188349
2014-11-28,0.040899962
2014-11-29,0.21178834
2014-11-30,0.06886758
2014-12-01,0.79606843
2014-12-02,0.24696067
2014-12-03,-4.4703484e-05
2014-12-04,0.009208918
